estado;C.city;C.estado;C.idCity;idEstado
AZ;Globe;AZ;1920;3
AZ;Golden Shores;AZ;1922;3
AZ;Phoenix;AZ;4032;3
AZ;Glendale;AZ;1913;3
AZ;Glendale;AZ;1912;3
AZ;Phoenix;AZ;4035;3
AZ;Phoenix;AZ;4052;3
AZ;Phoenix;AZ;4092;3
AZ;Phoenix;AZ;4095;3
AZ;Grand Canyon Caverns;AZ;1940;3
AZ;Phoenix;AZ;4094;3
AZ;Phoenix;AZ;4093;3
AZ;Phoenix;AZ;4034;3
AZ;Golden Valley;AZ;1923;3
AZ;Phoenix;AZ;4033;3
AZ;Goodyear;AZ;1930;3
AZ;Phoenix;AZ;4096;3
AZ;Phoenix;AZ;4089;3
AZ;Glendale;AZ;1903;3
AZ;Phoenix;AZ;4036;3
AZ;Phoenix;AZ;4088;3
AZ;Phoenix;AZ;4051;3
AZ;Phoenix;AZ;4053;3
AZ;Phoenix;AZ;4054;3
AZ;Glendale;AZ;1904;3
AZ;Phoenix;AZ;4090;3
AZ;Glendale;AZ;1909;3
AZ;Glendale;AZ;1911;3
AZ;Glendale;AZ;1910;3
AZ;Glendale;AZ;1906;3
AZ;Glendale;AZ;1905;3
AZ;Glendale;AZ;1908;3
AZ;Glendale;AZ;1907;3
AZ;Phoenix;AZ;4057;3
AZ;Phoenix;AZ;4066;3
AZ;Phoenix;AZ;4038;3
AZ;Phoenix;AZ;4043;3
AZ;Phoenix;AZ;4058;3
AZ;Phoenix;AZ;4099;3
AZ;Phoenix;AZ;4065;3
AZ;Phoenix;AZ;4064;3
AZ;Yuma;AZ;5744;3
AZ;Phoenix;AZ;4100;3
AZ;Yuma;AZ;5746;3
AZ;Yuma;AZ;5745;3
AZ;Phoenix;AZ;4068;3
AZ;Phoenix;AZ;4067;3
AZ;Phoenix;AZ;4037;3
AZ;Phoenix;AZ;4061;3
AZ;Phoenix;AZ;4041;3
AZ;Phoenix;AZ;4103;3
AZ;Phoenix;AZ;4062;3
AZ;Phoenix;AZ;4104;3
AZ;Apache Junction;AZ;168;3
AZ;Apache Junction;AZ;167;3
AZ;Phoenix;AZ;4102;3
AZ;Apache Junction;AZ;169;3
AZ;Phoenix;AZ;4042;3
AZ;Youngtown;AZ;5736;3
AZ;Phoenix;AZ;4039;3
AZ;Ahwatukee;AZ;24;3
AZ;Phoenix;AZ;4063;3
AZ;Phoenix;AZ;4060;3
AZ;Phoenix;AZ;4059;3
AZ;Phoenix;AZ;4040;3
AZ;Phoenix;AZ;4072;3
AZ;Phoenix;AZ;4073;3
AZ;Phoenix;AZ;4074;3
AZ;Phoenix;AZ;4112;3
AZ;Phoenix;AZ;4109;3
AZ;Phoenix;AZ;4110;3
AZ;Phoenix;AZ;4111;3
AZ;Phoenix;AZ;4113;3
AZ;Parks;AZ;3933;3
AZ;Picture Rocks;AZ;4116;3
AZ;Phoenix;AZ;4105;3
AZ;Parker;AZ;3929;3
AZ;Phoenix;AZ;4075;3
AZ;Phoenix;AZ;4047;3
AZ;Phoenix;AZ;4076;3
AZ;Phoenix;AZ;4071;3
AZ;Phoenix;AZ;4107;3
AZ;Yuma;AZ;5747;3
AZ;Winslow;AZ;5694;3
AZ;Phoenix;AZ;4069;3
AZ;Phoenix;AZ;4101;3
AZ;Phoenix;AZ;4106;3
AZ;Phoenix;AZ;4045;3
AZ;Phoenix;AZ;4046;3
AZ;Phoenix;AZ;4070;3
AZ;Phoenix;AZ;4108;3
AZ;Gilbert;AZ;1890;3
AZ;Marana;AZ;3172;3
CA;San Marcos;CA;4692;4
CA;San Jose;CA;4680;4
CA;San Mateo;CA;4693;4
CA;Davis;CA;1270;4
CA;San Jose;CA;4679;4
CA;San Jose;CA;4684;4
CA;Laguna Niguel;CA;2652;4
CA;Laguna Woods;CA;2654;4
CA;San Leandro;CA;4686;4
CA;Daly City;CA;1253;4
CA;Danville;CA;1258;4
CA;San Leandro;CA;4687;4
CA;San Leandro;CA;4689;4
CA;San Jose;CA;4681;4
CA;San Jose;CA;4685;4
CA;San Leandro;CA;4688;4
CA;San Jose;CA;4683;4
CA;San Jose;CA;4682;4
CA;San Jose;CA;4678;4
CA;San Francisco;CA;4653;4
CA;Hemet;CA;2112;4
CA;San Francisco;CA;4654;4
CA;La Habra;CA;2627;4
CA;Hemet;CA;2111;4
CA;Desert Hot Springs;CA;1375;4
CA;Desert Hot Springs;CA;1374;4
CA;San Francisco;CA;4655;4
CA;San Francisco;CA;4660;4
CA;San Francisco;CA;4661;4
CA;San Francisco;CA;4662;4
CA;San Francisco;CA;4659;4
CA;San Francisco;CA;4656;4
CA;San Francisco;CA;4657;4
CA;San Francisco;CA;4658;4
CA;Napa Valley;CA;3531;4
CA;Napa;CA;3530;4
CA;Hayward;CA;2101;4
CA;San Francisco;CA;4652;4
CA;San Francisco;CA;4651;4
CA;Hayward;CA;2099;4
CA;Hayward;CA;2100;4
CA;Napa;CA;3529;4
CA;Muscoy;CA;3507;4
CA;Hemet;CA;2109;4
CA;Hemet;CA;2110;4
CA;Napa;CA;3525;4
CA;Napa;CA;3528;4
CA;Napa;CA;3527;4
CA;Napa;CA;3526;4
CA;Murrieta;CA;3505;4
CA;San Jose;CA;4671;4
CA;San Jose;CA;4672;4
CA;San Jose;CA;4670;4
CA;Del Mar;CA;1300;4
CA;San Jose;CA;4669;4
CA;San Francisco;CA;4650;4
CA;La Quinta;CA;2633;4
CA;San Jose;CA;4675;4
CA;San Jose;CA;4676;4
CA;San Jose;CA;4677;4
CA;San Jose;CA;4674;4
CA;La Quinta;CA;2634;4
CA;Ladera Heights;CA;2644;4
CA;San Jose;CA;4673;4
CA;Hemet;CA;2115;4
CA;Hemet;CA;2116;4
CA;San Francisco;CA;4664;4
CA;La Mirada;CA;2629;4
CA;Hemet;CA;2113;4
CA;San Francisco;CA;4663;4
CA;Hemet;CA;2114;4
CA;San Gabriel;CA;4665;4
CA;Delano;CA;1304;4
CA;Delano;CA;1303;4
CA;San Jose;CA;4668;4
CA;Delano;CA;1305;4
CA;San Jose;CA;4666;4
CA;Delhi;CA;1307;4
CA;San Jose;CA;4667;4
CA;Palmdale;CA;3911;4
CA;Clovis;CA;1056;4
CA;Lamont;CA;2711;4
CA;Palmdale;CA;3910;4
CA;Panorama City;CA;3920;4
CA;Lakewood;CA;2702;4
CA;Coalinga;CA;1059;4
CA;Palo Alto;CA;3914;4
CA;Clovis;CA;1054;4
CA;Smartsville;CA;4862;4
CA;Palm Springs;CA;3907;4
CA;Lancaster;CA;2717;4
CA;Lancaster;CA;2716;4
CA;Palmdale;CA;3909;4
CA;Cloverdale;CA;1052;4
CA;Palmdale;CA;3908;4
CA;Siskiyou County;CA;4859;4
CA;Paradise;CA;3922;4
CA;Selma;CA;4791;4
CA;Imperial County;CA;2344;4
CA;Pasadena;CA;3947;4
CA;Paso Robles;CA;3952;4
CA;Home Garden;CA;2196;4
CA;Compton;CA;1155;4
CA;Hope Ranch;CA;2223;4
CA;Seaside;CA;4768;4
CA;Pasadena;CA;3946;4
CA;Moreno Valley;CA;3460;4
CA;Moreno Valley;CA;3461;4
CA;Colton;CA;1101;4
CA;Colton;CA;1102;4
CA;Pasadena;CA;3943;4
CA;Shafter;CA;4801;4
CA;Sherman Oaks;CA;4826;4
CA;Pasadena;CA;3942;4
CA;Huntington Beach;CA;2311;4
CA;Orosi;CA;3862;4
CA;Huntington Beach;CA;2313;4
CA;Huntington Beach;CA;2312;4
CA;South Los Angeles;CA;4901;4
CA;South Los Angeles;CA;4900;4
CA;Oroville;CA;3863;4
CA;Huron;CA;2327;4
CA;Huntington Park;CA;2314;4
CA;Rosamond;CA;4459;4
CA;Citrus Heights;CA;992;4
CA;Monterey;CA;3433;4
CA;Monterey Park;CA;3434;4
CA;Citrus Heights;CA;995;4
CA;City Terrace;CA;996;4
CA;Citrus Heights;CA;993;4
CA;Citrus Heights;CA;994;4
CA;South Lake Tahoe;CA;4899;4
CA;Lancaster;CA;2721;4
CA;Clearlake Oaks;CA;1026;4
CA;Palermo;CA;3896;4
CA;South El Monte;CA;4888;4
CA;Palm Desert;CA;3905;4
CA;Solvang;CA;4881;4
CA;Clearlake Park;CA;1027;4
CA;Lancaster;CA;2720;4
CA;South El Monte;CA;4889;4
CA;Oxnard;CA;3882;4
CA;South Gate;CA;4893;4
CA;South Lake Tahoe;CA;4898;4
CA;South Gate;CA;4894;4
CA;South Gate;CA;4891;4
CA;Pacific Beach;CA;3887;4
CA;South Gate;CA;4892;4
CA;Lancaster;CA;2725;4
CA;Santa Ana;CA;4719;4
CA;Lake Elsinore;CA;2661;4
CA;Lake Elsinore;CA;2662;4
CA;Inglewood;CA;2375;4
CA;Culver City;CA;1220;4
CA;Santa Ana;CA;4716;4
CA;Santa Ana;CA;4718;4
CA;Santa Ana;CA;4717;4
CA;Lake Elsinore;CA;2663;4
CA;Highland;CA;2155;4
CA;Crescent City;CA;1207;4
CA;Santa Clara;CA;4722;4
CA;Lake Forest;CA;2665;4
CA;Santa Clara;CA;4721;4
CA;Santa Barbara;CA;4720;4
CA;Lake Elsinore;CA;2664;4
CA;Highgrove;CA;2154;4
CA;Inglewood;CA;2376;4
CA;Inglewood;CA;2377;4
CA;Sand City;CA;4697;4
CA;Santa Ana;CA;4709;4
CA;Sand City;CA;4698;4
CA;San Ysidro;CA;4696;4
CA;San Ysidro;CA;4695;4
CA;Herald;CA;2136;4
CA;Inglewood;CA;2378;4
CA;Santa Ana;CA;4710;4
CA;Santa Ana;CA;4714;4
CA;Hesperia;CA;2143;4
CA;Hesperia;CA;2144;4
CA;Santa Ana;CA;4715;4
CA;Santa Ana;CA;4711;4
CA;Hesperia;CA;2142;4
CA;Santa Ana;CA;4713;4
CA;Santa Ana;CA;4712;4
CA;Indio;CA;2371;4
CA;Corning;CA;1175;4
CA;Perris;CA;3995;4
CA;Indio;CA;2370;4
CA;Indio;CA;2372;4
CA;Santee;CA;4738;4
CA;Saratoga;CA;4742;4
CA;Corona;CA;1177;4
CA;Hollywood;CA;2189;4
CA;Compton;CA;1157;4
CA;Hollywood Hills;CA;2194;4
CA;Orcutt;CA;3837;4
CA;Compton;CA;1156;4
CA;Hollywood Hills;CA;2193;4
CA;Hollywood;CA;2192;4
CA;Concord;CA;1158;4
CA;Concord;CA;1159;4
CA;Santa Rosa;CA;4737;4
CA;Santa Clarita;CA;4726;4
CA;Highland;CA;2156;4
CA;Cottonwood;CA;1191;4
CA;Santa Cruz;CA;4727;4
CA;Santa Clarita;CA;4724;4
CA;Santa Clara;CA;4723;4
CA;Covina;CA;1197;4
CA;Santa Clarita;CA;4725;4
CA;Industry;CA;2374;4
CA;Santa Monica;CA;4734;4
CA;Santa Maria;CA;4733;4
CA;Santa Paula;CA;4736;4
CA;Santa Nella;CA;4735;4
CA;Cottonwood;CA;1188;4
CA;Indio;CA;2373;4
CA;Santa Maria;CA;4732;4
CA;Santa Maria;CA;4731;4
CA;San Francisco;CA;4649;4
CA;Gardena;CA;1849;4
CA;Garden Grove;CA;1848;4
CA;Rialto;CA;4386;4
CA;Rialto;CA;4385;4
CA;Fullerton;CA;1830;4
CA;Oak View;CA;3707;4
CA;Garden Grove;CA;1847;4
CA;Rialto;CA;4384;4
CA;Richmond;CA;4391;4
CA;Poway;CA;4243;4
CA;Porterville;CA;4209;4
CA;Porterville;CA;4210;4
CA;Gardena;CA;1850;4
CA;Joshua Tree;CA;2492;4
CA;Gardena;CA;1852;4
CA;Gardena;CA;1851;4
CA;Fresno;CA;1816;4
CA;Fresno;CA;1815;4
CA;Fresno;CA;1818;4
CA;Fresno;CA;1817;4
CA;Fresno;CA;1812;4
CA;Redondo Beach;CA;4360;4
CA;Fresno;CA;1814;4
CA;Fresno;CA;1813;4
CA;Reseda;CA;4380;4
CA;Oakland;CA;3710;4
CA;Fullerton;CA;1829;4
CA;Fullerton;CA;1828;4
CA;Oakland;CA;3711;4
CA;Fullerton;CA;1827;4
CA;Redwood City;CA;4362;4
CA;Redwood City;CA;4361;4
CA;Gilroy;CA;1896;4
CA;Pomona;CA;4178;4
CA;Fairfield;CA;1618;4
CA;Pomona;CA;4177;4
CA;Riverside;CA;4422;4
CA;Riverside;CA;4420;4
CA;Goleta;CA;1924;4
CA;Pomona;CA;4179;4
CA;Pomona;CA;4180;4
CA;Grass Valley;CA;1961;4
CA;Grass Valley;CA;1960;4
CA;Pleasanton;CA;4164;4
CA;Riverside;CA;4424;4
CA;Grand Terrace;CA;1953;4
CA;Point Loma;CA;4173;4
CA;Point Loma;CA;4172;4
