idDirector3;2.l.c.c.d.t.director.2;2.idDirecto2;2.d2.l.c.c.d.t.director.1;2.d2.id_diretor1;2.d2.l.c.c.d.t.director.3;2.d2.teste.l.c.c.d.type;2.d2.teste.l.c.c.d.id_type;2.d2.teste.l.c.c.d.t.show_id;2.d2.teste.l.c.c.d.t.title;2.d2.teste.l.c.c.d.t.director;2.d2.teste.l.c.c.id_directors;2.d2.teste.l.c.c.d.t.cast;2.d2.teste.l.c.id_cast;2.d2.teste.l.c.c.d.t.country;2.d2.teste.l.id_countries;2.d2.teste.l.c.c.d.t.date_added;2.d2.teste.l.c.c.d.t.release_year;2.d2.teste.l.c.c.d.t.rating;2.d2.teste.l.c.c.d.t.duration;2.d2.teste.l.c.c.d.t.listed_in;2.d2.teste.id_listed;2.d2.teste.l.c.c.d.t.description;2.d2.teste.l.c.c.d.t.IMDB_titleID;2.d2.teste.l.c.c.d.t.IMDB_rating;2.d2.teste.l.c.c.d.t.IMDB_rating_votes;2.d2.teste.l.c.c.d.t.IMDB_title_name;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80221943;Ainsley Eats the Streets;N/A;1;Ainsley Harriott;354;United Kingdom;1;43806;2014;TV-PG;1 Season;British TV Shows, Docuseries, International TV Shows;4;Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.;/title/tt8948164/;69;56; Ainsley Eats the Streets;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;70225722;Life;N/A;1;David Attenborough;213;United Kingdom, United States, Greece, Italy, Germany;82;25569;2009;TV-PG;1 Season;British TV Shows, Docuseries, International TV Shows;4;Discover the glorious variety of life on Earth and the spectacular and extraordinary tactics animals and plants have developed to stay alive.;/title/tt5442430/;66;191806; Life;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80136785;Forget Me Not;N/A;1;N/A;5;United Kingdom;1;25569;2011;TV-MA;1 Season;International TV Shows, TV Dramas;5;Teenage Xue Ming was forced to marry the man who raped her. Years after abandoning her young sons to find a better life, can she escape the guilt?;/title/tt1147684/;52;5608; Forget Me Not;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80135278;The Beat;N/A;1;Henley Hii, Yise Loo, Aric Ho, Tiffany Leong, Issac Dang, Christy Yow;50;N/A;2;25569;2012;TV-PG;1 Season;International TV Shows, TV Dramas;5;The artistic pursuits of two childhood friends, an aspiring singer and a talented dancer, lead them to four other 20-somethings in a drumming group.;/title/tt0231013/;63;57; The Beat;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;81104339;In the Bosom of a Thorn;N/A;1;Elham Al Fadalah, Ibrahim Al-Harbi, Khaled Al-Buraiki, Layla Abdullah, Noor Alghandour, Abeer Ahmad;222;N/A;2;43651;2019;TV-14;1 Season;International TV Shows, TV Dramas;5;After the invasion of Kuwait, a woman’s infant daughter is taken from her. Now, her daughter looks to make her way back home years later.;/title/tt10397430/;82;13; In The Bosom of a Thorn;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;81049739;The Terminal;N/A;1;Mohammad Mansour, Bouthayna Al Raesi, Bassima Hamada, Ahlaam Muhammed, Shaimaa Ali, Foaz Al -Shatti, Abdullah Bahman, Abdulmohsen Al-Qaffas, Mohammed Al Dosari;265;N/A;2;25569;2018;TV-14;1 Season;International TV Shows, TV Dramas;5;Social pressure, a complicated past and a clash of values beset the life of a businessman and his family.;/title/tt0362227/;73;379289; The Terminal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80136455;The Iron Lady;N/A;1;Yeo Yann Yann, Aenie Wong, Seck Fook Yee, Jacky Kam, Frederick Lee, Jeffery Cheng, Mandy Chen;350;N/A;2;25569;2009;TV-PG;1 Season;International TV Shows, TV Dramas;5;After business troubles destroy her father, a headstrong young woman does battle with her deeply patriarchal culture to secure her family's legacy.;/title/tt1007029/;64;98644; The Iron Lady;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80121872;Jhansi Ki Rani;N/A;1;Ulka Gupta, Sameer Dharmadhikari, Amit Pachori, Shailesh Dattar, Aruna Irani;324;India;4;42741;2009;TV-14;1 Season;International TV Shows, TV Dramas;5;In British-ruled, 19th-century India, a 14-year-old girl trains as a warrior and becomes a devoted crusader in her country's fight for independence.;/title/tt9710650/;7;25; Jhansi Ki Rani;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;81011957;Holiday Secrets;N/A;1;Corinna Harfouch, Christiane Paul, Svenja Jung, Leonie Benesch, Anita Vulesica, Barbara Nüsse, Hans-Uwe Bauer, Lorna zu Solms, Tilda Jenkins, Emilie Neumeister, Golo Euler, Dennis Herrmann, Maik Solbach, Merlin Rose;174;Germany;6;25569;2019;TV-MA;1 Season;International TV Shows, TV Dramas;5;A Christmas reunion becomes a gateway to the past in this three-part series that explores the intimate complexities of one family's history.;/title/tt11243536/;64;606; Holiday Secrets;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80178971;Charité;N/A;1;Alicia von Rittberg, Maximilian Meyer-Bretschneider, Justus von Dohnányi, Matthias Koeberlin, Christoph Bach, Ernst Stötzner, Klara Deutschmann, Ramona Kunze-Libnow, Daniel Sträßer, Tanja Schleiff, Monika Oschek, Emilia Schüle, Matthias Brenner, Thomas Loibl;351;Germany;6;25569;2017;TV-MA;1 Season;International TV Shows, TV Dramas;5;At Berlin's Charité hospital in 1888, Ida finds romance, a path to her dream job and an inside look into cures for tuberculosis and diphtheria.;/title/tt5337806/;77;1332; Charité;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
